,measure_id,measure_name,location_id,location_name.x,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,val_pop,upper_pop,lower_pop,age_standard_pop_proportion,age_standard_pop_ratio,location_name,age_median
77,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,435,Uterine cancer,1,Number,2021,33559.1054771459,39997.0323314604,26670.7279970958,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32,Global,32
78,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,435,Uterine cancer,1,Number,2021,57225.469146663,65818.9753284981,46662.9527032153,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83,Global,37
79,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,435,Uterine cancer,1,Number,2021,94692.4699851309,107441.675563144,78822.464735544,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15,Global,42
80,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,435,Uterine cancer,1,Number,2021,162000.101896363,181683.779909456,136164.286076824,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51,Global,47
81,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,435,Uterine cancer,1,Number,2021,252884.816250134,289245.149686407,213908.51546837,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91,Global,52
82,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,435,Uterine cancer,1,Number,2021,340834.267708461,385998.250460313,299405.437459223,395728004,407669300.348216,384764582.368839,4.34586,4.35,Global,57
83,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,435,Uterine cancer,1,Number,2021,417150.81653725,462133.473455506,372564.175050299,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
84,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,435,Uterine cancer,1,Number,2021,418105.75414605,459979.288363835,374268.222963276,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99,Global,67
85,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,435,Uterine cancer,1,Number,2021,327268.333851285,365073.174197229,295668.294009345,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27,Global,72
86,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,435,Uterine cancer,1,Number,2021,195220.333642285,218258.641473411,171771.445602245,131884404.580217,135613447.4,128518633.372437,1.59758,1.6,Global,77
